diseases,symptoms
Malaria,"Fever, headache, chills, vomiting, fatigue"
Typhoid Fever,"Prolonged_fever, fatigue, headache, nausea, abdominal_pain, constipation, diarrhea"
Common Cold(Rhinovirus),"Runny_nose, sore_throat, coughing, sneezing, headaches, body_aches"
Influenza(Flu),"Fever, cough, sore_throat, muscle_pain, headache, fatigue, sometimes_vomiting, diarrhea"
Acute Bronchitis,"Cough, mucus, wheezing, shortness_of_breath, chest_discomfort"
Chronic Bronchitis,"Persistent_cough_with_mucus, wheezing, shortness_of_breath"
Sinusitis,"Facial_pain_pressure, nasal_congestion, runny_nose, loss_of_smell, cough, sore_throat"
Pharyngitis(Sore Throat),"Sore_throat, pain_when_swallowing, swollen_tonsils, hoarseness, fever, cough"
Laryngitis,"Hoarseness, loss_of_voice, sore_throat, dry_cough, throat_irritation, difficulty_speaking"
Gastroenteritis(Stomach Flu),"Watery_diarrhea, abdominal_cramps, nausea, vomiting, low_grade_fever, muscle_aches"
Tonsilitis,"Sore_throat, difficulty_swallowing, swollen_tonsils, fever, bad_breath, swollen_lymph_nodes"
Food Poisining,"Nausea, vomiting, diarrhea, abdominal_cramps, fever, weakness, dehydration"
Irritable Bowel Syndrome,"Abdominal_pain, cramping, bloating, gas, diarrhea, constipation, changes_in_bowel_habits"
Lactose Intolerance,"Diarrhea, nausea, abdominal_cramps, bloating, gas_after_consuming_dairy_products"
Constipation,"Infrequent_bowel_movement,  difficulty_passing_stools, hard_dry_stools, abdominal_discomfort, bloating"
Diarrhea,"Loose, watery_stools, frequent _bowel_movements, abdominal_cramps, bloating, nausea, urgency_bowel_movement, dehydration"
Acid Reflux,"Heartburn, regurgitation_of_food, sour_liquid, difficulty_swallowing, chest_pain, sensation_of_lump_in_throat, chronic_cough, sore_throat, hoarseness"
Peptic Ulcers,"Burning_stomach_pain, bloating, intolerance_to_fatty_foods, heartburn, nausea, vomiting, weight_loss, dark_black_stools, vomiting_blood"
Hemorrhoids,"Pain, discomfort_during_bowel_movements, itching, irritation_in_anal_region, swelling_around_anus, bleeding_during_bowel_movements, protrusion_of_tissue"
Dermatitis(Eczema),"Red, inflamed_skin, itching, dryness, cracking, scaling, thickened_skin, blisters"
Psoriasis,"Red_patches_of_skin, covered_with_thick, silvery scales, dry_cracked_skin_bleed, itching_burning_sensations, thickened_pitted_nails, swollen_joints"
Acne,"Pimples, whiteheads, blackheads, cysts, nodules,  red_swollen_skin, painful_skin"
Fungal Infection,"Skin_rashes, itching, redness, scaling, blisters, cracking_skin, nail_discoloration, respiratory_issues, fatigue"
Cold Sores(Herpes Simplex Virus),"Tingling, itching, small_fluid-filled_blisters_around_the_mouth, blisters_around_lips  pain_discomfort, fever"
Impetigo,"Red_sores, ooze, yellowish_brown_crust"
Hives(Urticaria),"itchy_welts_on_skin, burning_stinging_sensations, swelling"
Hay Fever,"Sneezing, runny_stuffy nose, itchy_eyes, itchy_mouth, throat_discomfort, watery_eyes, fatigue, cough, postnasal_drip"
Allergic Rhinitis,"Sneezing, runny_ stuffy nose, itchy_eyes, itchy_throat, postnasal_drip, fatigue, coughing, wheezing"
Food Allergy,"Hives, itching, swelling_of_lips_tongue, difficulty_breathing, abdominal_pain, nausea, vomiting, diarrhea, anaphylaxis "
Tendinitis,"Pain, tenderness,  stiffness_in_tendon, swelling, limited_motion"
Otitis Media(Ear Infection),"Ear_pain, difficulty_hearing, fluid_drainage_from_ear, fever, irritability, balance_issues"
Otitis Externa(Swimmer's Ear),"Ear_pain, itching_in_ear_canal, redness_inside_ear, fluid_drainage, hearing_loss, swelling"
Tinnitus,"Ringing, buzzing, hissing, roaring, clicking_sounds"
Nosebleeds(Epistaxis),"Bleeding_nostrils, lightheadedness, dizziness "
Nasal Polyps,"Persistent_nasal_congestion, runny_nose, reduced_absense_of_smell, postnasal_drip, facial_pain or pressure, snoring, difficulty_breathing"
Vertigo,"Sensation_of_spinning, dizziness, loss_of_balance, nausea, vomiting, headaches, abnormal_eye_movements, difficulty_walking"
Sore Throat,"Pain_or_scratchy_sensation_in_throat, difficulty_swallowing, swollen_glands, hoarse_voice, red_swollen_tonsils"
Conjunctivitis,"Redness_in_the eye or inner_eyelid, increased_tear_production, itching, irritation, yellow_green_discharge, crusting_of_the_eyelids, sensitivity_to_light"
Styes,"Red,_swollen_lump_on_eyelid, tenderness, pain, increased_tearing, sensitivity_to_light, sensation_in_the_eye"
Dry Eye Syndrome,"Dryness, burning, stinging, redness, blurred_vision, light_sensitivity"
Allergic Conjunctivitis,"Itchy_eyes, redness, swelling, watery_discharge"
